id,house,course,sex,wandCore,bloodStatus,result,Defence against the dark arts exam,Flying exam,Astronomy exam,Herbology exam,Divinations exam,Charms exam,History of magic exam,Arithmancy exam,Care of magical creatures exam,Muggle studies exam,Study of ancient runes exam,Transfiguration exam,Potions exam,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40
20,Hufflepuff,7,female,phoenix feather,pure-blood,19,53,41,52,55,48,42,44,43,52,43,48,41,63,-1,10,-3,3,-10,5,-3,20,1,10,10,20,-5,3,-3,-20,0,1,0,-5,-1,3,0,-5,-5,10,1,-5,5,5,0,5,-1,-20,-10,-5,-5,-1,10,5
21,Slytherin,3,female,dragon heartstring,half-blood,193,63,64,69,78,76,74,61,80,73,62,60,77,97,10,1,-3,1,5,5,10,5,5,0,0,3,1,5,5,1,1,3,3,5,10,20,3,1,0,20,20,20,10,3,3,1,10,5,10,5,-10,5,1,-10
22,Gryffindor,5,male,dragon heartstring,half-blood,63,72,59,48,54,47,64,39,67,45,47,55,88,30,-10,0,5,5,5,-3,0,-1,1,1,10,-1,0,5,-3,0,10,20,-20,5,20,3,-5,10,0,3,-3,-1,-3,-1,10,-5,-3,0,0,0,10,20,-1,-20
23,Gryffindor,4,male,phoenix feather,muggle-born,52,40,48,60,49,52,43,55,51,43,52,50,55,19,-1,-5,5,0,1,1,-10,-5,-1,0,20,-5,10,0,0,20,10,10,-20,5,3,-10,1,0,0,-5,20,10,-5,10,10,1,-10,-10,10,0,3,-1,-5,-5
24,Hufflepuff,2,female,phoenix feather,half-blood,-30,34,34,62,34,48,16,46,51,35,35,19,20,57,-20,-20,1,0,20,1,3,0,1,3,1,1,-5,10,-20,-10,-10,1,10,-20,1,-1,-5,-5,-3,0,10,10,-1,0,1,20,0,5,-1,5,-20,10,0,-3
25,Gryffindor,4,female,dragon heartstring,pure-blood,42,40,28,52,63,60,57,51,17,54,30,48,43,41,20,-1,10,5,5,0,5,10,5,3,5,-3,0,-10,0,3,-1,5,3,3,20,-10,-3,-1,-5,-20,-5,5,-5,-10,5,1,-10,1,3,1,10,-5,0,3
26,Slytherin,2,male,dragon heartstring,half-blood,-148,25,33,11,6,31,25,30,9,34,13,8,51,87,0,0,-10,5,-5,-3,-3,1,5,-1,-5,-3,-20,-20,-3,-20,-1,-5,5,0,0,-5,-10,-10,-1,10,-1,0,-1,0,-20,-5,-1,0,-5,-3,-3,-5,-5,0
27,Hufflepuff,5,female,dragon heartstring,half-blood,14,34,37,40,39,56,40,32,46,40,55,33,38,56,5,1,1,-5,-1,3,3,-5,3,-10,10,1,5,5,-5,0,3,-20,1,1,3,0,0,0,3,5,20,-1,-5,-1,5,3,0,0,-20,-3,10,-1,5,-5
28,Gryffindor,3,male,phoenix feather,pure-blood,-33,52,39,16,30,35,39,47,25,41,35,41,65,39,5,5,3,5,-5,20,3,0,1,-20,-20,5,1,5,-10,-3,-20,5,-5,10,-20,-5,-10,5,-3,3,-5,20,0,3,-10,-3,-20,5,0,20,3,-1,-10,10
29,Ravenclaw,3,male,dragon heartstring,half-blood,179,70,76,52,54,66,58,77,59,41,62,43,66,53,-5,1,-1,5,0,20,5,5,10,1,5,20,0,10,10,1,-3,5,0,-5,0,5,0,0,10,-3,10,-5,-1,10,0,3,10,20,5,5,20,5,0,1
30,Ravenclaw,3,female,dragon heartstring,half-blood,87,59,50,41,41,54,48,53,48,50,59,57,29,61,3,3,-10,20,-20,5,-10,0,20,10,1,10,1,0,-10,0,1,1,-1,-5,5,-10,3,0,0,20,10,5,10,5,5,1,0,-1,3,-5,0,10,-3,10
31,Slytherin,4,female,dragon heartstring,pure-blood,213,61,73,66,72,66,73,58,61,74,63,71,87,81,-5,5,5,10,10,20,1,5,1,0,0,1,5,-10,0,20,10,10,0,1,-3,10,20,5,20,10,10,20,10,0,3,10,3,0,0,10,1,0,5,-10
32,Hufflepuff,2,male,unicorn hair,half-blood,-16,33,37,40,55,49,36,39,45,31,22,39,16,51,10,10,-20,-1,-1,-20,1,1,5,10,1,-1,1,1,1,-20,5,5,0,10,-10,1,0,1,20,5,0,3,-20,1,-20,-5,0,5,1,-5,-1,0,5,5
33,Hufflepuff,7,female,unicorn hair,half-blood,29,48,49,41,47,40,34,31,48,22,53,50,35,43,-20,1,5,3,5,-5,1,0,5,-1,20,5,1,0,3,10,1,-5,-10,0,-10,0,-20,-10,5,20,-10,-3,-5,5,20,5,0,1,20,5,1,1,-20,5
34,Ravenclaw,6,female,dragon heartstring,half-blood,153,65,61,62,44,66,55,68,80,49,53,62,52,37,10,20,1,-20,10,5,5,10,20,0,-5,0,0,20,0,0,1,1,5,0,20,5,0,3,10,10,1,-20,5,5,1,10,5,1,5,5,0,10,-3,-3
35,Ravenclaw,1,male,phoenix feather,muggle-born,177,66,58,59,66,76,58,76,66,66,60,66,62,46,20,0,10,3,5,1,5,1,10,0,10,1,5,0,20,5,3,0,10,5,5,5,5,3,0,0,10,20,3,0,10,3,1,10,-20,-5,10,1,3,-1
36,Hufflepuff,1,male,dragon heartstring,pure-blood,109,59,69,37,57,46,61,55,51,56,80,43,69,6,5,0,10,10,1,20,3,20,0,5,-1,0,0,0,-1,10,1,-1,1,-3,0,1,-10,20,-5,0,-5,-1,-1,-1,10,5,-5,-10,-1,1,20,5,5,1
37,Slytherin,4,male,dragon heartstring,pure-blood,-98,0,25,47,46,26,12,33,28,6,37,12,0,74,-1,-10,0,-5,0,-10,1,-10,-10,0,0,5,-1,-20,10,-10,-3,-10,-5,20,0,0,0,-10,-1,-1,-1,-5,-5,-3,-5,-3,0,-20,5,5,0,0,-5,10
38,Hufflepuff,3,female,dragon heartstring,half-blood,-31,50,28,27,25,32,34,49,37,34,45,43,44,19,-1,-5,1,3,0,-20,3,-5,-3,3,-3,-5,20,-5,5,0,1,3,0,-1,1,0,-10,-5,1,-3,-3,-3,5,20,-3,1,3,1,-1,10,-20,-20,3,1
39,Ravenclaw,2,male,phoenix feather,muggle-born,166,61,62,55,65,74,66,51,52,68,62,66,50,3,1,0,3,20,5,10,5,10,5,10,5,1,5,1,3,5,1,-1,5,0,0,0,5,-3,-10,10,20,5,10,3,1,1,3,1,0,0,1,10,10,5
40,Ravenclaw,2,female,unicorn hair,half-blood,196,73,73,65,79,58,49,45,83,54,77,71,70,18,20,0,10,3,5,3,1,10,20,10,5,-5,10,20,5,-1,1,5,0,10,20,-20,-1,5,3,0,5,-3,0,0,3,5,10,20,3,10,1,0,0,3
41,Slytherin,5,female,phoenix feather,pure-blood,153,69,55,63,64,78,57,58,47,74,64,61,48,87,0,20,5,-3,5,3,3,-20,3,0,1,-3,-3,5,3,20,10,5,0,-3,10,3,0,1,-5,10,-10,5,5,0,3,20,10,3,20,10,1,5,10,1
42,Slytherin,2,female,dragon heartstring,pure-blood,96,53,70,60,61,51,52,42,44,62,42,41,45,92,-5,1,0,0,-10,-5,5,1,1,10,0,0,1,3,10,5,-5,5,3,20,0,-10,0,-20,-10,-5,1,10,20,0,5,10,3,10,20,5,5,10,5,-3
43,Hufflepuff,5,female,phoenix feather,half-blood,87,49,46,65,70,60,60,49,67,58,57,57,63,59,20,-5,3,10,10,0,1,3,-3,0,10,10,20,1,20,-3,-20,1,-10,-1,3,-20,-1,0,10,-20,10,0,0,0,-10,5,20,-3,1,5,0,-3,20,3
44,Gryffindor,7,female,phoenix feather,half-blood,58,32,33,47,48,38,41,36,36,39,28,56,36,8,5,0,-10,-3,-3,-10,20,3,20,0,20,5,5,0,10,-5,-1,3,1,-20,3,5,5,5,1,-5,10,3,5,-1,-20,3,0,-5,-3,5,20,-5,-5,-3
45,Slytherin,2,male,dragon heartstring,pure-blood,-205,20,23,12,9,19,29,24,34,6,4,20,34,100,-20,0,-10,-3,-20,-10,-5,-10,-3,10,-5,0,-1,-3,0,3,0,-3,3,-5,0,-20,-20,-1,-5,-5,0,-3,-5,-5,-10,0,-3,-3,-20,-5,-3,-10,-10,5
46,Slytherin,7,female,dragon heartstring,half-blood,109,55,60,47,55,43,47,47,51,52,61,52,44,93,5,-3,5,-1,-10,1,1,10,-1,10,1,5,20,1,3,3,-20,1,0,0,1,0,0,1,5,20,5,0,0,5,5,1,0,-1,10,1,20,1,1,3
47,Gryffindor,2,female,unicorn hair,pure-blood,143,84,48,57,28,60,67,72,62,63,58,44,68,56,20,20,0,0,-10,-3,1,3,-1,5,1,20,-1,5,5,-5,0,10,-5,5,3,1,1,1,0,-5,0,-5,20,20,0,0,3,-3,-3,20,0,10,0,10
48,Gryffindor,4,female,dragon heartstring,half-blood,0,48,26,38,40,37,48,39,57,35,40,46,50,4,0,0,20,20,0,5,0,1,-20,-10,-3,3,-1,10,0,-5,0,0,1,0,-1,3,3,0,-5,-1,1,-5,0,5,-1,0,10,-10,-20,0,-5,5,-1,1
49,Gryffindor,2,female,phoenix feather,half-blood,19,41,43,34,57,65,26,52,43,53,58,31,63,37,-1,0,3,-1,10,-5,-5,1,10,3,5,-20,-3,5,0,0,-5,3,0,0,20,20,0,10,-1,1,-20,0,-5,20,0,0,-5,-10,-1,-10,5,5,-10,0
50,Slytherin,4,female,phoenix feather,half-blood,155,49,70,71,39,63,49,75,60,65,64,62,54,100,10,10,3,20,1,0,20,0,10,3,10,-20,5,5,5,0,20,10,3,3,1,1,-5,0,0,5,-20,3,1,10,0,1,-3,0,3,20,5,10,5,0
51,Gryffindor,5,male,dragon heartstring,half-blood,55,53,50,54,63,68,44,52,53,50,65,48,87,14,5,1,20,10,0,-3,-20,-1,3,0,1,-5,-10,5,5,20,20,5,-5,-5,10,5,3,0,0,1,1,1,20,0,3,-20,-20,-20,1,1,1,20,5,-3
52,Hufflepuff,4,male,unicorn hair,half-blood,5,31,41,41,62,54,49,37,35,34,33,36,60,9,1,3,5,0,-5,1,0,0,1,0,-5,-1,-10,-10,5,3,-5,10,20,5,20,-1,-10,20,-10,10,5,-5,-5,-20,0,5,5,-1,3,-10,1,-20,0,0
53,Gryffindor,5,female,unicorn hair,pure-blood,58,56,37,37,41,61,41,37,44,56,47,28,40,21,-10,0,10,0,10,1,3,-1,-20,-3,-5,0,-1,-1,5,5,0,20,0,3,5,0,-5,5,-20,1,0,0,-5,0,5,5,0,10,5,5,20,1,5,5
54,Ravenclaw,4,male,phoenix feather,muggle-born,158,50,64,64,32,50,74,83,65,79,70,54,37,33,3,3,3,20,20,5,0,20,5,5,0,20,-5,10,-10,0,5,-3,5,0,10,1,20,5,3,-20,10,0,5,5,5,0,-1,0,-1,1,-1,0,5,5
55,Ravenclaw,6,female,dragon heartstring,half-blood,222,68,63,78,82,68,72,67,91,65,78,73,80,15,3,5,20,5,10,-1,3,3,10,1,0,5,1,20,5,10,-5,20,3,1,3,0,20,0,-10,0,1,10,20,10,0,5,0,20,1,5,-3,1,0,20
56,Slytherin,2,male,dragon heartstring,pure-blood,-181,24,19,27,13,16,20,24,9,1,22,27,1,76,-10,-20,0,-1,-1,-1,-10,0,0,0,-20,-3,0,0,20,-1,-20,5,0,-10,-20,-5,0,0,5,-3,5,-10,-10,-10,1,-5,-5,0,-20,-5,-20,-3,-1,-3
57,Hufflepuff,7,female,unicorn hair,half-blood,9,27,39,38,49,43,39,37,28,39,29,62,26,15,5,20,0,1,-20,-20,0,-10,-5,3,10,1,0,-3,-20,0,0,5,0,-10,10,-5,3,-3,5,1,3,3,-1,10,5,10,1,0,3,-3,0,5,5,0
58,Ravenclaw,4,male,unicorn hair,half-blood,185,81,56,60,79,68,59,84,68,58,82,72,62,62,1,10,-1,10,0,5,3,5,10,0,3,5,5,1,1,0,-20,0,5,-5,20,-5,5,1,3,20,10,5,5,5,20,10,3,5,5,0,0,20,10,5
59,Ravenclaw,2,female,phoenix feather,half-blood,103,67,51,54,50,53,63,56,41,41,65,55,78,21,5,10,0,5,0,0,5,3,5,1,0,5,-10,20,3,1,0,1,1,1,0,3,20,0,5,-1,-20,5,1,0,5,10,3,0,10,5,0,-20,20,1
60,Gryffindor,5,male,dragon heartstring,muggle-born,41,51,43,50,49,62,52,53,27,49,48,62,51,35,-10,-20,3,5,0,-10,1,0,0,-5,1,-1,-3,5,3,10,20,20,5,-10,-10,5,10,1,5,-10,-5,0,-3,0,1,-5,5,1,20,5,1,1,-5,10
61,Gryffindor,2,female,unicorn hair,half-blood,60,29,63,59,55,52,53,50,42,53,32,46,57,58,20,-3,1,0,3,-1,10,1,-1,20,5,20,-10,-20,1,-20,10,10,5,-5,5,10,-5,5,-5,-5,0,-20,10,5,-1,-5,5,5,0,-5,0,5,10,0
62,Hufflepuff,5,male,unicorn hair,muggle-born,49,44,37,61,68,58,28,42,45,59,72,60,39,51,5,0,5,10,-20,-5,10,20,-20,5,10,3,10,3,-10,0,-1,-3,1,-20,-20,-5,-5,-5,20,-5,20,5,-5,10,10,-10,3,10,5,-3,0,0,20,1
63,Hufflepuff,2,female,dragon heartstring,half-blood,69,34,66,42,36,46,56,50,51,48,61,57,53,36,1,20,-10,-5,-5,-10,5,-20,-5,0,0,-5,-1,20,3,-3,-1,-10,1,0,10,3,0,10,20,10,20,10,-10,-1,0,-5,5,1,0,3,3,20,5,-10
64,Slytherin,2,female,dragon heartstring,half-blood,57,57,47,66,53,49,44,24,47,45,63,34,23,88,3,0,5,10,10,3,10,1,5,-5,5,-5,-20,1,0,0,10,-20,-20,0,10,0,5,3,3,10,0,0,-5,0,3,5,5,10,5,5,0,0,5,0
65,Slytherin,1,female,phoenix feather,half-blood,237,68,71,66,64,65,89,61,62,89,79,87,93,66,0,5,10,0,20,0,-1,0,5,5,3,20,20,-5,20,5,1,10,10,10,1,10,0,5,-20,10,20,5,20,1,-10,1,20,5,5,1,10,5,10,0
66,Slytherin,4,female,dragon heartstring,half-blood,93,49,56,58,50,54,48,41,52,63,54,46,47,98,1,10,-1,10,-1,0,10,-20,-1,0,20,-1,0,10,3,3,5,-5,5,-1,20,1,3,0,-1,3,0,10,3,20,3,20,3,-20,-20,1,-20,5,10,5
67,Slytherin,3,female,unicorn hair,half-blood,163,80,70,68,58,58,64,50,66,72,66,78,59,81,3,0,0,-1,0,0,3,0,0,5,5,0,10,5,5,10,0,10,20,-20,5,1,5,-5,20,0,-1,10,1,5,1,5,10,5,10,5,1,5,5,20
68,Gryffindor,2,female,dragon heartstring,half-blood,-31,33,32,33,15,38,46,36,48,37,43,33,63,31,0,5,-1,20,-10,-5,0,5,-5,-3,-20,3,5,-10,1,0,5,10,5,5,3,-20,-20,-5,5,-5,1,0,-10,0,5,-20,20,3,5,3,-20,5,10,-1
69,Ravenclaw,5,female,phoenix feather,half-blood,164,88,64,67,57,81,58,54,34,56,47,61,76,8,3,-10,5,1,-3,3,1,5,5,20,10,0,10,1,-1,0,20,5,5,1,5,10,-1,1,5,-5,3,0,5,1,10,5,10,-20,10,3,1,0,20,20
70,Slytherin,5,female,phoenix feather,pure-blood,170,47,47,62,56,59,59,58,56,71,62,64,74,68,20,20,0,0,1,3,20,5,20,0,0,5,0,10,5,10,10,20,0,10,0,-1,3,1,5,-10,0,3,1,20,5,1,0,-5,-5,3,-5,0,0,-5
71,Hufflepuff,7,female,dragon heartstring,pure-blood,76,35,41,34,47,48,41,51,61,71,51,56,29,31,-5,-1,3,1,-1,-3,0,20,-20,0,-20,10,10,-5,-1,0,-5,20,5,0,5,5,0,10,0,-1,5,3,-20,20,-5,10,0,20,0,0,1,0,20,-5
72,Hufflepuff,3,female,unicorn hair,half-blood,-53,49,45,37,56,33,15,54,12,26,10,26,5,68,-10,-1,1,0,-20,1,-3,0,0,0,-3,20,-20,5,5,-10,20,5,1,0,-10,5,-5,0,-20,5,-1,-3,-10,-3,-10,20,-10,0,1,0,-10,5,-1,3
73,Hufflepuff,7,female,phoenix feather,half-blood,7,29,33,48,43,23,50,37,40,43,47,42,55,69,10,1,5,10,5,5,1,-5,-20,-5,5,5,0,0,20,10,1,-10,20,-1,-3,-10,0,0,20,5,-20,-10,-20,10,5,-3,-5,-3,0,0,3,1,0,-20
74,Gryffindor,2,male,dragon heartstring,half-blood,68,53,54,54,48,45,28,44,47,25,44,45,29,29,-3,-5,20,5,10,0,10,3,-20,5,-20,3,-5,-5,5,20,5,20,3,5,10,10,0,20,0,5,-20,0,0,0,-20,10,-1,1,1,3,-5,-1,-1,0
75,Slytherin,2,male,unicorn hair,pure-blood,-106,41,27,48,11,30,20,34,23,28,6,47,21,95,-1,-3,-20,0,-1,20,-5,-5,5,-5,-20,10,0,-5,-10,-3,1,5,-10,-5,-5,-10,-20,0,0,0,-3,-5,-1,0,-1,-1,-3,-1,20,-1,0,-3,-20,0
76,Hufflepuff,5,female,unicorn hair,half-blood,31,53,51,31,31,40,45,52,35,41,49,57,18,56,20,1,0,5,-10,-20,3,-5,3,-1,5,10,5,-10,5,-3,1,3,0,0,0,20,10,5,1,0,-10,-20,0,5,0,-3,0,20,-3,3,-3,-1,-5,0
77,Gryffindor,3,male,dragon heartstring,half-blood,59,53,43,52,50,30,56,38,50,55,34,49,62,21,-3,-5,-10,0,-20,3,5,-5,0,-3,0,0,1,-10,-1,5,0,10,5,10,1,-5,1,10,-5,5,3,0,5,20,0,10,5,3,5,20,0,3,1,-5
78,Slytherin,4,male,dragon heartstring,half-blood,-157,36,16,0,9,31,35,19,0,28,21,14,28,86,1,-1,-1,5,0,0,0,-3,-5,0,-3,-1,-10,0,-1,-10,-20,5,-20,-5,-20,-10,20,-10,0,-10,0,0,-1,-10,-10,-10,-10,-5,10,-10,-1,-5,-3,-3
79,Ravenclaw,4,female,unicorn hair,half-blood,159,70,58,62,69,51,79,56,75,65,59,60,92,19,0,10,20,0,-20,10,-5,1,10,0,10,5,0,3,1,10,5,0,-1,20,1,1,20,-5,1,10,10,-1,0,1,-10,5,20,10,10,5,0,0,1,1
80,Ravenclaw,7,female,unicorn hair,half-blood,66,50,60,63,58,57,58,38,39,50,43,54,36,6,-1,5,-10,5,-20,5,5,-5,20,-20,10,10,-1,0,1,-1,10,0,0,5,-5,3,10,-5,5,-10,1,5,20,0,5,5,5,-3,0,-3,5,-1,10,1
81,Gryffindor,4,male,phoenix feather,half-blood,63,33,61,63,59,53,41,42,51,41,47,56,53,60,-5,1,-5,10,-10,1,5,5,0,20,-1,5,1,-5,0,-20,-5,-1,0,1,5,5,1,10,0,-20,0,10,10,20,-1,-3,1,10,-3,-3,0,-1,20,5
82,Hufflepuff,2,male,unicorn hair,half-blood,-17,41,48,29,45,27,41,19,43,41,35,24,37,68,1,1,5,-5,5,3,5,-10,-3,-3,-5,3,1,0,-20,-5,-10,-10,10,-5,-5,10,10,1,3,1,5,-5,1,10,10,20,10,-10,5,-5,-1,-20,-5,-10
83,Ravenclaw,2,male,phoenix feather,pure-blood,166,60,63,64,63,62,57,55,63,55,61,49,34,35,0,10,0,5,-3,3,1,20,20,-10,0,5,5,0,10,1,10,10,1,0,5,5,-1,0,0,-10,3,5,0,20,5,5,-3,5,10,20,0,1,3,5
84,Slytherin,6,female,unicorn hair,half-blood,151,58,60,58,52,51,58,56,57,67,54,53,59,69,5,-10,3,-1,3,20,0,20,1,20,20,-3,0,5,-5,1,5,0,10,-20,1,10,5,5,20,10,1,5,1,-10,-20,0,10,20,20,3,-20,5,1,10
85,Gryffindor,7,male,dragon heartstring,muggle-born,55,49,57,39,45,45,68,55,67,51,33,44,60,29,-1,-3,1,3,5,1,10,-5,5,-20,-1,20,0,10,5,-1,-3,5,-10,-5,-10,-10,-3,1,20,10,5,-5,1,-1,-1,-3,3,10,1,0,5,5,10,1
86,Ravenclaw,5,female,phoenix feather,pure-blood,133,65,39,58,55,52,55,51,64,58,66,50,63,47,10,1,1,0,-20,0,10,5,5,10,20,0,20,-20,5,5,5,-1,20,10,0,0,-5,-5,5,0,20,0,3,0,5,20,0,-20,5,1,5,5,3,5
87,Slytherin,2,female,unicorn hair,half-blood,96,42,48,45,60,45,56,64,55,56,71,54,72,86,1,-3,-10,1,5,0,0,10,-10,0,0,20,10,20,0,-20,0,5,20,10,10,20,5,10,10,1,-10,-10,1,0,10,0,5,-10,5,10,0,-20,5,-5
88,Gryffindor,7,female,dragon heartstring,half-blood,95,62,41,54,54,43,74,63,61,35,65,56,67,57,10,3,10,-20,0,3,-5,3,5,20,0,-3,0,1,3,5,20,20,5,20,5,0,0,5,3,1,-5,-3,1,-5,0,5,0,0,-5,-10,3,0,0,0
89,Ravenclaw,3,male,dragon heartstring,half-blood,136,61,52,55,73,50,60,53,66,55,57,66,73,41,5,10,5,3,3,5,-5,0,0,20,0,10,20,5,-1,3,10,1,0,10,3,10,5,-1,5,-1,5,0,-20,1,5,0,-1,5,5,5,5,1,-5,5
90,Slytherin,3,female,unicorn hair,half-blood,115,56,47,70,69,46,59,63,53,52,35,65,45,84,0,0,3,0,5,5,0,20,5,1,20,10,0,-20,5,5,10,1,-10,-5,1,1,5,5,3,0,5,-3,1,20,5,0,-3,0,5,10,-10,10,5,0
91,Gryffindor,7,male,dragon heartstring,half-blood,-13,28,19,39,34,50,40,48,33,41,45,38,55,61,3,3,-5,5,-10,-20,10,-10,20,10,0,3,0,5,-10,5,-10,-5,0,-5,-5,-10,5,20,-5,-20,5,0,-20,0,1,5,1,10,20,1,5,-10,-5,0
