id,house,course,sex,blood_status,result,Transfiguration_exam,Potions_exam,Herbology_exam,Defence against the dark arts_exam,History of magic_exam,Divinations_exam,Astronomy_exam,Arythmancy_exam,Care of magical creatures_exam,Muggle studies_exam,Study of ancient runs_exam,Flying_exam,Charms_exam,wand,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30,week 31,week 32,week 33,week 34,week 35,week 36,week 37,week 38,week 39,week 40
229,Gryffindor,5,female,Muggle-borned,-235,24,23,52,38,100,68,54,23,88,96,57,91,42,Dragon heartstring,-5,-20,0,-10,5,-20,-20,-5,-5,-10,5,-10,-10,-5,5,-10,10,-20,-10,-10,0,10,-10,-10,-10,-10,0,-10,0,-5,-20,-10,-5,0,-10,10,0,10,-10,-10
237,Gryffindor,5,male,Muggle-borned,-370,33,50,64,100,80,70,67,81,90,40,49,51,35,Dragon heartstring,-20,-10,5,-10,-5,-20,0,-20,-20,0,0,-20,-20,-20,-5,-5,10,-5,-10,-5,-10,-5,-20,-10,-20,-5,-20,-20,-10,10,10,-20,-5,-20,0,5,0,-10,-20,-20
238,Gryffindor,7,male,Pure-blood,-300,53,41,37,63,53,30,59,72,69,44,84,74,58,Unicorn hair,0,-10,-5,-5,0,-20,-20,0,-20,-20,0,0,-20,-20,0,5,0,-5,10,-10,-20,-5,-5,0,-20,0,-5,5,-20,-5,-20,0,-5,-10,-5,-10,-5,-20,-5,-5
3,Gryffindor,5,male,Muggle-borned,-125,38,51,84,100,26,62,63,50,73,62,67,84,25,Dragon heartstring,-20,-5,10,-10,10,5,-5,-20,-10,5,-10,5,0,10,-5,-5,0,-5,10,0,-20,-20,0,10,-20,-5,-20,-20,0,5,-10,10,5,5,5,5,-10,0,0,-5
19,Gryffindor,1,male,Muggle-borned,-180,33,29,74,57,100,60,71,49,82,82,51,33,20,Phoenix feather,5,5,-10,0,-5,-5,-10,0,-5,-20,5,-10,-5,0,-5,-20,0,-20,-5,-5,0,0,5,5,0,-5,-5,0,5,-10,5,-10,-20,-5,-10,-10,-20,10,-5,0
26,Gryffindor,3,male,Half-blood,-165,20,6,41,31,40,44,34,46,25,55,39,62,34,Phoenix feather,5,5,-5,0,0,5,-10,0,0,-10,-10,-20,-20,5,0,5,0,-5,-5,-5,-5,10,-20,-20,20,-5,-20,-20,0,-5,-5,-10,0,0,5,5,-5,-20,-10,5
34,Gryffindor,3,male,Half-blood,-125,55,16,37,33,38,85,48,15,85,20,37,66,8,Dragon heartstring,0,-5,-20,5,5,0,5,0,-5,10,-20,-5,10,10,-10,0,0,-5,-10,-10,0,-10,-10,-10,0,5,-10,0,-20,0,-10,5,-5,0,0,0,-10,-5,-10,10
44,Gryffindor,4,male,Muggle-borned,-110,36,2,51,36,56,35,51,50,33,65,39,36,49,Unicorn hair,10,5,5,-20,-5,-10,-5,-10,10,-5,-20,5,-10,-10,-10,10,5,-10,-10,-5,5,10,5,-5,-5,-10,5,-5,5,0,5,-10,5,-5,0,-10,0,-10,0,-10
101,Gryffindor,3,female,Half-blood,-90,82,28,65,69,95,100,100,85,99,58,74,100,79,Dragon heartstring,0,0,-20,0,5,-20,-5,0,0,0,-10,-5,5,5,5,0,-10,0,5,-5,-20,-5,10,-5,-5,0,0,0,-10,0,0,-5,-10,5,-5,5,5,-10,10,0
105,Gryffindor,2,male,Half-blood,-110,53,24,22,54,37,100,14,31,85,45,51,33,36,Unicorn hair,0,0,5,10,10,-20,-20,-5,5,-10,-5,0,-5,-10,5,0,-5,10,5,0,-5,-20,-5,-10,-20,0,0,10,-5,0,-20,5,5,0,-5,5,0,0,-5,-10
107,Gryffindor,5,female,Half-blood,-85,42,14,80,88,73,51,45,58,100,37,48,58,39,Unicorn hair,5,-10,0,0,5,-5,-5,10,-10,-5,-20,-10,5,0,0,-10,10,0,-5,-20,5,-10,0,-10,-5,5,5,10,5,0,-10,-5,5,5,5,0,-5,-5,-20,5
109,Gryffindor,1,female,Muggle-borned,-125,75,48,93,100,49,49,100,82,61,100,49,100,68,Phoenix feather,0,-5,5,0,-5,20,5,5,0,5,5,-5,0,-10,5,-20,-5,5,-20,-10,-20,-10,-5,0,5,-20,-10,0,5,-5,-10,-20,5,-20,10,-10,10,-10,10,-5
136,Gryffindor,4,male,Pure-blood,-150,8,100,100,60,51,1,30,27,22,100,38,100,100,Unicorn hair,-20,-20,0,-10,-10,-10,0,10,-10,-10,-10,-5,5,5,-10,10,-10,5,-5,-5,5,0,-5,20,0,-10,-10,-10,-5,-20,5,0,0,-5,0,0,-5,-5,5,-10
146,Gryffindor,1,male,Half-blood,-160,59,48,41,66,18,39,86,100,67,63,59,27,86,Dragon heartstring,-20,-10,-5,5,-10,5,-5,-10,5,5,0,5,-5,5,-20,-20,-20,-10,-20,0,10,-20,-5,-5,10,-20,0,0,0,0,0,0,-5,-5,5,5,-5,0,0,0
149,Gryffindor,5,male,Half-blood,-80,52,46,10,100,72,85,39,100,54,82,14,98,36,Phoenix feather,0,5,0,0,-10,-5,0,10,-5,-10,-20,5,5,-5,10,0,-5,0,-5,-5,-10,-5,-10,-10,0,5,0,-10,-5,10,0,-5,10,-5,5,-20,0,0,5,0
150,Gryffindor,3,male,Muggle-borned,-130,15,100,100,9,57,46,43,2,100,6,48,55,6,Dragon heartstring,0,-10,-10,-5,10,10,0,-20,-5,0,0,-5,-10,-5,-10,5,-20,-10,-5,-10,10,-5,-5,-5,-5,5,-5,0,5,10,0,-5,-5,-5,-5,-10,-10,10,0,-5
162,Gryffindor,7,male,Muggle-borned,-165,78,36,58,72,100,46,62,97,32,100,51,99,80,Unicorn hair,-10,0,0,-5,5,-10,5,-10,-5,0,5,0,-5,0,-5,0,-20,-5,10,-5,-20,-10,-10,5,0,-20,5,10,5,0,-5,-10,0,0,-5,-10,-20,-20,-10,5
168,Gryffindor,3,male,Pure-blood,-55,13,100,15,1,18,39,60,35,100,44,56,22,30,Unicorn hair,5,-5,10,0,0,-5,-5,0,0,0,0,-20,10,0,-10,-10,5,-10,0,-5,0,0,-5,-5,0,-5,5,-10,-10,10,-10,0,-5,-5,5,5,0,5,5,5
181,Gryffindor,2,male,Half-blood,-90,37,14,76,51,19,34,62,54,51,97,34,72,51,Unicorn hair,-10,5,-10,0,0,-5,0,-20,-10,-5,0,0,0,-10,-10,-10,10,5,-5,5,0,5,0,-10,-10,0,20,0,5,10,-10,5,5,-5,0,-10,-10,5,0,-20
233,Gryffindor,6,female,Muggle-borned,-50,86,68,48,90,62,100,100,98,94,62,48,58,92,Dragon heartstring,5,-5,5,0,-5,0,10,-5,0,0,-5,-10,5,0,-10,0,5,-20,0,5,10,0,0,-10,-10,0,10,-20,5,0,-10,-10,0,-10,5,10,10,-5,-10,10
254,Gryffindor,2,female,Pure-blood,-135,52,33,64,51,78,93,43,56,45,63,31,67,34,Dragon heartstring,0,5,-5,5,-5,-20,10,-5,5,-10,0,-5,0,0,-5,5,0,0,-10,10,5,-10,0,5,-20,-20,-5,-5,0,-5,-5,0,-10,-5,0,-20,5,-10,0,-10
258,Gryffindor,1,female,Half-blood,-75,55,7,63,77,65,84,60,43,33,24,28,100,64,Phoenix feather,-5,0,-10,5,0,10,5,5,-10,5,0,-5,-5,0,-10,0,-10,5,10,5,-20,0,0,0,-10,-10,-20,-5,0,5,5,0,10,5,10,-20,10,0,-20,-10
41,Gryffindor,7,female,Half-blood,-30,100,100,100,49,100,44,21,17,20,100,34,14,100,Phoenix feather,-10,5,0,0,5,-5,0,10,-5,-20,0,0,10,-5,-5,10,0,-5,-20,5,10,0,0,-10,0,-5,-10,5,5,0,-5,-10,10,5,0,-20,5,0,10,10
80,Gryffindor,5,female,Muggle-borned,-60,15,12,35,21,85,58,39,8,69,5,22,29,100,Phoenix feather,5,0,-5,0,-5,-5,-5,20,-5,-5,-5,0,-10,-5,0,-5,-10,-10,10,0,-5,10,0,0,10,5,-5,-20,-5,10,0,-10,5,-5,0,5,-20,-5,5,5
95,Gryffindor,7,female,Pure-blood,30,84,26,44,81,81,69,63,18,28,51,53,84,94,Phoenix feather,-10,-10,10,5,0,10,10,-10,20,5,5,5,0,0,0,-5,0,0,5,-5,5,0,5,0,-10,10,-10,0,0,5,-5,5,0,-10,10,-20,0,5,0,5
97,Gryffindor,1,female,Half-blood,-5,74,39,71,100,100,76,80,100,64,46,100,61,58,Phoenix feather,-5,5,0,10,0,0,-5,-10,5,5,10,10,-20,5,-10,20,-10,-10,-5,0,0,-5,5,-5,20,10,-5,0,0,-10,0,-10,0,-5,5,0,0,-20,10,10
126,Gryffindor,3,male,Pure-blood,50,100,100,2,37,36,100,10,33,100,23,60,100,100,Unicorn hair,-20,-10,0,5,0,0,0,0,5,0,0,5,0,5,0,-10,0,0,0,0,0,0,20,0,5,20,-5,-10,-20,0,0,0,20,10,5,5,10,0,5,5
211,Gryffindor,5,male,Pure-blood,-5,45,22,37,78,37,57,85,19,75,63,13,89,48,Dragon heartstring,-20,10,-5,-20,0,5,0,20,0,0,5,10,0,0,-5,10,5,0,0,5,0,0,0,10,-10,10,-5,0,5,5,-5,-10,-5,0,-5,-5,0,0,-10,0
217,Gryffindor,5,male,Half-blood,-55,58,48,44,94,67,43,64,99,87,78,45,48,71,Phoenix feather,-5,-5,-5,5,-10,0,-20,0,0,5,-10,0,10,5,0,0,5,20,-10,0,-5,-5,-10,10,5,5,-20,0,0,-5,-5,5,0,5,-10,-10,0,0,0,0
240,Gryffindor,6,female,Muggle-borned,10,46,18,51,15,81,54,43,19,35,27,91,65,78,Unicorn hair,-5,-5,10,0,5,-5,0,20,20,0,0,0,5,0,0,0,5,5,10,0,-20,10,0,0,0,5,0,0,10,0,-5,-10,-5,0,0,0,-20,-20,0,0
241,Gryffindor,2,female,Pure-blood,-40,46,5,41,38,77,61,47,51,85,76,13,59,73,Phoenix feather,-20,10,-10,0,5,0,5,0,5,-10,20,5,0,0,-5,5,5,-5,5,10,5,-20,5,-5,0,0,-10,-20,5,0,0,0,-10,0,5,0,-5,-5,0,-10
244,Gryffindor,5,female,Half-blood,20,73,36,54,76,100,74,100,39,80,70,31,67,58,Unicorn hair,10,5,0,0,0,10,0,0,-5,-5,0,-5,0,0,0,0,0,10,-5,0,-20,5,-5,0,10,10,0,-5,10,0,-5,0,10,5,0,0,0,-10,0,0
269,Gryffindor,5,male,Half-blood,-5,43,13,58,75,80,69,49,53,0,100,22,55,38,Unicorn hair,5,-5,5,10,0,-5,-20,5,0,20,0,0,-5,-5,0,0,0,-5,-5,5,0,-20,10,0,10,-5,5,5,0,5,0,0,-5,0,0,5,0,0,5,-20
32,Gryffindor,6,male,Muggle-borned,100,35,28,60,50,83,91,59,59,78,100,66,71,20,Phoenix feather,0,10,-10,-5,10,-10,5,-10,5,-10,20,0,-5,-10,0,-10,20,10,10,-5,10,5,0,10,5,5,-10,10,0,5,0,20,-5,20,-5,0,0,10,0,5
59,Gryffindor,5,male,Muggle-borned,85,23,2,100,0,31,8,7,29,100,27,42,34,36,Dragon heartstring,-10,-5,5,5,0,5,-10,5,-10,5,-10,10,10,-5,5,10,-10,-5,10,5,5,20,10,0,0,-10,5,-5,10,5,0,0,20,10,-5,5,0,-5,0,10
91,Gryffindor,7,male,Half-blood,35,62,17,83,10,80,95,61,37,63,83,85,74,16,Unicorn hair,10,0,10,0,-5,-20,0,5,0,5,10,5,10,5,0,10,-20,-20,0,5,10,-20,-10,20,5,5,0,10,5,-20,0,5,5,20,5,0,-5,-5,-5,0
124,Gryffindor,5,female,Half-blood,30,42,41,64,84,72,41,31,46,42,58,73,13,100,Dragon heartstring,5,5,0,-10,0,0,5,0,0,10,5,0,10,5,10,0,5,-10,5,-5,10,0,-10,-20,-10,10,0,-10,10,0,0,5,-10,10,5,5,5,-5,-10,5
141,Gryffindor,7,male,Half-blood,-10,32,100,62,74,55,53,60,84,53,16,83,40,24,Phoenix feather,-20,0,0,-20,10,10,5,5,10,0,-10,5,-20,-20,5,0,5,-5,-10,10,0,-20,10,0,-5,0,0,10,5,10,-5,-5,0,10,5,10,5,-5,-5,10
177,Gryffindor,7,female,Half-blood,80,35,65,50,100,100,59,75,99,46,89,47,96,42,Dragon heartstring,0,5,0,-5,-5,20,-10,0,10,-10,10,20,5,5,10,0,5,-10,5,-10,5,-10,10,5,10,0,10,5,5,-10,5,10,5,5,5,-5,-10,-10,0,0
197,Gryffindor,3,male,Half-blood,-10,25,100,11,17,100,43,60,100,9,15,33,100,4,Unicorn hair,0,-20,0,0,20,-5,-10,10,0,5,0,0,10,-5,-10,5,-5,5,5,5,-10,-10,0,5,-10,5,5,20,-5,-20,-10,0,5,-10,0,10,5,0,10,-10
207,Gryffindor,1,female,Half-blood,-30,26,100,32,29,16,100,6,20,15,26,27,100,11,Unicorn hair,5,-5,-5,-10,-10,-5,-5,5,5,20,-10,-5,-5,10,0,5,-10,-5,-10,0,-10,-10,5,10,-10,-5,-5,-10,5,-20,0,10,0,20,-10,-5,5,20,10,5
265,Gryffindor,6,female,Muggle-borned,85,31,11,31,79,72,44,51,37,16,24,26,28,30,Phoenix feather,0,-5,10,5,-10,10,10,5,10,-5,10,0,5,-5,10,0,5,-5,-10,0,10,-10,5,0,5,10,0,5,0,5,5,5,-10,10,-10,5,0,5,5,0
278,Gryffindor,2,male,Muggle-borned,85,29,100,38,53,65,5,47,85,34,30,78,37,26,Dragon heartstring,-10,-20,0,0,20,5,10,5,5,-5,0,5,5,10,5,5,-5,5,5,0,10,-5,0,-5,-10,-10,20,10,10,-20,-10,10,10,-10,10,5,5,10,5,5
56,Gryffindor,6,male,Half-blood,385,36,4,61,71,29,49,64,29,67,36,32,31,44,Dragon heartstring,20,5,20,20,-10,20,10,20,5,20,10,5,0,10,20,20,0,5,-10,0,20,20,5,-5,0,20,20,10,0,0,0,10,20,20,20,20,-10,-5,20,10
65,Gryffindor,2,female,Pure-blood,250,42,20,19,33,55,71,100,46,100,39,19,70,59,Dragon heartstring,20,20,20,5,20,20,20,0,5,0,20,20,0,5,5,10,20,10,5,10,0,10,-10,0,0,-10,10,0,0,0,-10,10,10,10,-10,0,0,-5,0,10
67,Gryffindor,5,male,Muggle-borned,240,76,40,56,100,78,92,90,99,100,86,71,86,95,Phoenix feather,-5,10,10,10,20,20,0,5,20,-10,-5,20,0,20,5,5,5,0,10,0,0,10,-5,10,-20,10,5,-5,5,0,20,0,20,20,0,20,10,-5,10,-5
73,Gryffindor,6,male,Half-blood,220,52,38,74,70,100,18,34,52,24,63,86,90,37,Unicorn hair,5,-5,-10,5,0,5,20,0,-10,10,0,-10,20,10,-5,-5,5,5,0,20,20,20,-5,10,-10,5,10,-20,5,20,-10,20,20,5,0,0,10,20,20,20
98,Gryffindor,3,male,Half-blood,120,63,19,53,38,80,83,34,58,46,76,100,77,76,Phoenix feather,-10,0,0,-10,-5,-5,20,10,0,-5,10,10,0,20,-10,20,0,0,-5,0,-10,-10,0,0,20,0,-10,20,10,10,0,5,5,5,0,-5,20,20,-5,5
143,Gryffindor,5,male,Half-blood,205,18,100,5,8,100,14,42,17,45,47,7,11,1,Unicorn hair,5,10,5,5,0,20,5,10,-5,0,5,10,5,20,-10,5,5,10,10,10,-10,20,10,0,20,5,0,0,20,10,-5,-5,0,0,0,5,10,5,5,-10
157,Gryffindor,4,male,Half-blood,265,18,100,100,66,68,36,83,68,6,21,75,44,37,Unicorn hair,-5,10,10,-10,-5,0,5,5,20,0,20,20,0,5,20,10,20,20,0,-20,20,5,0,0,20,20,10,20,5,20,-10,-5,5,5,0,5,-10,5,5,20
165,Gryffindor,1,male,Pure-blood,245,24,22,25,47,11,30,23,55,34,37,30,74,21,Dragon heartstring,-10,-10,20,0,10,20,-20,10,5,20,10,0,20,0,0,-5,10,10,10,20,20,-10,0,20,5,-5,0,20,20,-5,10,10,0,0,5,10,5,0,10,10
190,Gryffindor,3,male,Half-blood,210,61,39,73,87,100,75,48,65,61,70,67,50,43,Dragon heartstring,20,0,10,-5,10,-10,20,-10,5,5,10,5,10,10,20,-10,10,20,-10,20,-10,0,0,0,-5,0,10,-10,20,20,20,10,10,10,10,0,-10,10,-5,0
196,Gryffindor,6,male,Half-blood,265,37,17,45,26,47,56,83,92,89,48,88,100,39,Unicorn hair,5,-10,10,10,0,10,5,20,5,20,0,5,20,20,5,5,20,10,0,-5,0,5,0,10,20,0,5,10,20,-5,20,5,10,0,5,-5,5,0,5,0
205,Gryffindor,2,male,Half-blood,270,99,37,45,43,97,100,96,43,63,100,63,95,97,Phoenix feather,0,20,0,5,0,5,20,10,0,5,20,10,5,-5,20,20,20,5,-5,-10,20,5,20,10,0,10,0,10,0,5,0,20,0,0,20,0,-5,0,20,-10
210,Gryffindor,4,male,Muggle-borned,290,42,56,71,100,61,62,72,88,68,48,80,93,33,Dragon heartstring,20,5,-10,20,10,5,10,-10,5,0,0,0,10,20,20,0,5,20,20,0,20,20,20,-5,10,10,-5,0,20,20,-20,0,0,5,20,0,5,20,10,-10
231,Gryffindor,6,male,Half-blood,265,100,100,6,100,24,32,24,100,30,29,100,100,100,Unicorn hair,10,0,10,0,10,-5,10,20,10,20,-5,10,5,10,-5,0,0,5,10,10,0,20,-5,20,-10,-10,0,20,10,-5,20,-5,20,20,0,0,20,0,20,5
255,Gryffindor,3,male,Half-blood,345,41,100,44,39,58,34,36,37,56,64,10,32,48,Phoenix feather,0,20,0,0,10,10,20,0,0,0,20,0,10,5,20,20,20,5,20,0,5,20,-5,10,5,20,5,-5,0,20,20,5,0,20,5,10,0,10,10,10
256,Gryffindor,1,male,Half-blood,250,31,6,36,51,25,54,72,44,70,35,50,63,8,Unicorn hair,20,0,-10,20,10,-5,10,20,20,0,0,10,10,5,10,20,0,-10,0,-5,5,-10,5,0,0,20,20,-10,-5,-10,20,5,10,20,20,0,20,5,0,10
2,Hufflepuff,6,male,Muggle-borned,-35,34,33,25,51,23,70,17,8,48,26,26,38,19,Phoenix feather,-5,5,0,-5,-10,0,10,-10,0,10,5,0,0,-5,-5,10,0,10,-5,-20,5,-10,-10,5,-5,-5,0,10,5,0,-5,0,-5,-5,0,-10,5,0,0,5
4,Hufflepuff,7,female,Half-blood,-15,49,38,83,87,48,47,54,85,99,42,75,87,44,Dragon heartstring,-5,0,-5,5,0,-5,10,-10,0,5,0,-5,0,0,0,5,-5,5,-5,0,-5,-5,-10,10,0,5,-5,5,0,0,-5,0,5,0,-10,0,0,0,10,0
5,Hufflepuff,2,male,Muggle-borned,10,53,59,84,37,24,100,58,83,98,95,100,73,61,Phoenix feather,0,10,0,-10,5,10,0,0,5,0,5,-10,0,-5,5,5,0,10,0,0,0,0,0,-10,0,0,-5,5,0,-5,5,5,-10,0,-5,-5,5,0,-5,5
14,Hufflepuff,3,female,Half-blood,15,27,100,33,50,25,85,59,49,66,39,65,85,15,Dragon heartstring,-5,-10,0,0,5,-5,10,-5,0,-5,0,10,-5,10,-10,0,5,5,-5,0,-5,0,5,5,0,-10,0,0,0,0,-10,0,0,0,5,5,10,10,5,0
15,Hufflepuff,7,male,Half-blood,-50,22,100,0,13,36,30,8,60,46,38,100,8,36,Dragon heartstring,0,-10,0,0,0,-10,-5,10,0,0,-10,-5,0,-5,0,0,-5,0,5,10,0,0,0,-5,-10,-5,0,0,-5,0,-5,-10,0,0,0,0,5,5,5,0
16,Hufflepuff,4,female,Muggle-borned,15,3,100,23,30,3,100,42,16,20,0,60,33,100,Phoenix feather,-5,5,5,0,0,0,-5,10,0,0,0,0,0,0,-5,5,-10,5,0,0,20,0,-5,5,0,5,0,5,-10,-10,5,5,0,0,-5,-10,0,0,10,-5
21,Hufflepuff,3,female,Half-blood,10,73,41,57,75,70,44,59,77,51,57,82,44,81,Phoenix feather,-5,0,0,-5,-10,10,5,-5,-5,-5,-5,20,0,-10,0,-10,5,0,0,-5,10,0,0,5,0,0,-10,5,0,5,-5,-5,5,-5,0,5,5,10,10,0
27,Hufflepuff,6,male,Half-blood,-15,40,56,74,79,97,58,58,100,71,31,90,100,31,Dragon heartstring,5,-5,0,10,10,-5,0,5,0,0,-10,-5,0,-5,5,5,-5,0,5,5,-10,0,5,0,-5,0,-10,5,-5,0,-10,0,5,-10,0,0,5,0,0,0
38,Hufflepuff,6,male,Half-blood,20,55,45,66,44,77,87,76,18,40,11,22,34,55,Unicorn hair,5,10,0,-5,-5,0,0,0,10,0,10,0,0,-5,5,0,5,5,5,5,-5,-20,-5,0,5,10,0,-5,0,5,5,5,-5,0,-10,0,0,-5,0,0
40,Hufflepuff,6,female,Half-blood,-20,59,21,60,66,93,55,49,100,60,62,93,81,74,Dragon heartstring,-5,5,-5,0,5,-10,5,-10,10,-5,5,5,-10,-5,5,5,0,-10,0,0,0,5,-5,-5,5,5,0,5,5,0,-5,-10,-5,0,0,0,0,0,0,0
45,Hufflepuff,3,male,Half-blood,-40,100,100,7,25,24,32,5,0,100,48,14,21,100,Dragon heartstring,-10,-5,0,-10,0,0,-5,-10,0,-5,0,-10,10,-10,5,0,0,-5,0,10,0,5,10,-5,0,0,5,-5,-5,10,5,-5,0,-5,0,-10,-5,0,0,10
49,Hufflepuff,2,male,Half-blood,45,46,25,41,96,47,73,11,66,89,100,46,98,54,Dragon heartstring,10,5,0,0,5,10,0,0,-5,-5,10,0,-10,-5,10,0,10,0,-5,5,-10,0,5,0,-5,0,5,-5,5,5,-10,0,0,10,-5,5,5,0,0,5
50,Hufflepuff,2,male,Half-blood,25,64,37,44,39,83,38,6,84,44,14,45,90,65,Dragon heartstring,-10,0,0,0,5,10,0,0,0,10,0,5,5,5,0,-10,0,5,-10,-5,0,0,5,0,-10,10,-10,10,0,10,0,0,-10,-10,0,5,0,5,10,0
51,Hufflepuff,3,female,Half-blood,5,69,37,54,95,67,67,49,62,46,0,34,69,61,Dragon heartstring,-5,5,0,-5,-5,-5,0,0,0,5,10,0,10,0,10,5,5,0,0,0,-5,0,-10,5,0,0,-10,-5,0,-5,0,0,0,-5,5,-10,5,10,5,-5
57,Hufflepuff,1,male,Muggle-borned,60,51,53,78,77,59,69,81,85,55,70,100,38,49,Phoenix feather,0,-5,-5,5,10,5,0,-5,-10,-5,10,0,5,-5,0,10,0,0,-5,10,0,10,0,0,0,5,0,0,10,0,-5,-10,5,5,-10,10,10,5,10,0
58,Hufflepuff,7,female,Pure-blood,-25,52,41,54,58,100,45,22,85,73,85,56,100,60,Unicorn hair,0,-5,0,0,0,5,0,10,-10,0,5,0,-10,-10,0,-10,-5,0,0,-10,5,-5,5,-5,0,0,0,5,0,5,-10,5,10,-5,0,0,0,0,0,5
64,Hufflepuff,4,female,Half-blood,-90,45,35,46,32,46,60,29,45,56,63,76,69,47,Phoenix feather,-10,0,0,-5,-5,-20,0,5,-5,0,0,10,-5,-10,-5,0,5,0,5,-5,-5,-10,-5,-5,0,5,-10,5,0,10,0,-10,-5,0,-10,-10,-5,-5,10,5
72,Hufflepuff,2,female,Muggle-borned,20,100,0,65,51,51,46,47,62,57,57,45,1,100,Unicorn hair,5,-5,-5,0,0,-10,0,5,-10,0,0,10,5,-5,0,5,10,5,0,5,5,-5,-5,-5,0,-5,-10,10,0,-10,5,10,-5,0,0,5,10,-10,5,10
75,Hufflepuff,6,female,Half-blood,10,41,9,44,39,35,53,38,74,28,31,42,50,45,Phoenix feather,-10,10,5,-10,0,0,5,-10,-5,-10,5,-5,-10,10,-5,0,5,0,0,0,0,0,5,5,-5,5,5,10,-5,-5,5,-5,0,10,0,0,0,5,-5,10
76,Hufflepuff,2,female,Half-blood,20,44,26,41,57,32,22,11,100,51,41,42,85,61,Dragon heartstring,5,-5,0,0,10,0,20,5,0,0,-5,-10,-10,-10,10,-5,0,0,5,5,5,0,0,-5,-5,5,0,0,10,-5,5,5,0,5,-5,-5,-10,0,0,5
